date,time,test,negative,confirmed,released,deceased,indi_test,indi_confirmed
2020-03-02,0,109591,71580,4212,31,22,10670,476
2020-03-03,0,125851,85484,4812,34,28,16260,600
2020-03-04,0,136707,102965,5328,41,32,10856,516
2020-03-05,0,146541,118965,5766,88,35,9834,438
2020-03-06,0,164740,136624,6284,108,42,18199,518
2020-03-07,0,178189,151802,6767,118,44,13449,483
2020-03-08,0,188518,162008,7134,130,50,10329,367
2020-03-09,0,196618,171778,7382,166,51,8100,248
2020-03-10,0,210144,184179,7513,247,54,13526,131
2020-03-11,0,222395,196100,7755,288,60,12251,242
2020-03-12,0,234998,209402,7869,333,66,12603,114
2020-03-13,0,248647,222728,7979,510,67,13649,110
2020-03-14,0,261335,235615,8086,714,72,12688,107
2020-03-15,0,268212,243778,8126,834,75,6877,40
2020-03-16,0,274504,251297,8236,1137,75,6292,110
2020-03-17,0,286716,261105,8320,1401,81,12212,84
2020-03-18,0,295647,270888,8413,1540,84,8931,93
2020-03-19,0,307024,282555,8565,1947,91,11377,152
2020-03-20,0,316664,292487,8652,2233,94,9640,87
2020-03-21,0,327509,303006,8799,2612,102,10845,147
2020-03-22,0,331780,308343,8897,2909,104,4271,98
2020-03-23,0,338036,315447,8961,3166,111,6256,64
2020-03-24,0,348582,324105,9037,3507,120,10546,76
2020-03-25,0,357896,334481,9137,3730,126,9314,100
2020-03-26,0,364942,341332,9241,4144,131,7046,104
2020-03-27,0,376961,352410,9332,4528,139,12019,91
2020-03-28,0,387925,361883,9478,4811,144,10964,146
2020-03-29,0,394141,369530,9583,5033,152,6216,105
2020-03-30,0,395194,372002,9661,5228,158,1053,78
2020-03-31,0,410564,383886,9786,5408,162,15370,125
2020-04-01,0,421547,395075,9887,5567,165,10983,101
2020-04-02,0,431743,403882,9976,5828,169,10196,89
2020-04-03,0,443273,414303,10062,6021,174,11530,86
2020-04-04,0,455032,424732,10156,6325,177,11759,94
2020-04-05,0,461233,431425,10237,6463,183,6201,81
2020-04-06,0,466804,437225,10284,6598,186,5571,47
2020-04-07,0,477304,446323,10331,6694,192,10500,47
2020-04-08,0,486003,457761,10384,6776,200,8699,53
2020-04-09,0,494711,468779,10423,6973,204,8708,39
2020-04-10,0,503051,477303,10450,7117,208,8340,27
2020-04-11,0,510479,485929,10480,7243,211,7428,30
2020-04-12,0,514621,490321,10512,7368,214,4142,32
2020-04-13,0,518743,494815,10537,7447,217,4122,25
2020-04-14,0,527438,502223,10564,7534,222,8695,27
2020-04-15,0,534552,508935,10591,7616,225,7114,27
2020-04-16,0,538775,513894,10613,7757,229,4223,22
2020-04-17,0,546463,521642,10635,7829,230,7688,22
2020-04-18,0,554834,530631,10653,7937,232,8371,18
2020-04-19,0,559109,536205,10661,8042,234,4275,8
2020-04-20,0,563035,540380,10674,8114,236,3926,13
2020-04-21,0,571014,547610,10683,8213,237,7979,9
2020-04-22,0,577959,555144,10694,8277,238,6945,11
2020-04-23,0,583971,563130,10702,8411,240,6012,8
2020-04-24,0,589520,569212,10708,8501,240,5549,6
2020-04-25,0,595161,575184,10718,8635,240,5641,10
2020-04-26,0,598285,578558,10728,8717,242,3124,10
2020-04-27,0,601660,582027,10738,8764,243,3375,10
2020-04-28,0,608514,588559,10752,8854,244,6854,14
2020-04-29,0,614197,595129,10761,8922,246,5683,9
2020-04-30,0,619881,600482,10765,9059,247,5684,4
2020-05-01,0,623069,603610,10774,9072,248,3188,9
2020-05-02,0,627562,608286,10780,9123,250,4493,6
2020-05-03,0,630973,611592,10793,9183,250,3411,13
2020-05-04,0,633921,614944,10801,9217,252,2948,8
2020-05-05,0,640237,620575,10804,9283,254,6316,3
2020-05-06,0,643095,624280,10806,9333,255,2858,2
2020-05-07,0,649388,630149,10810,9419,256,6293,4
2020-05-08,0,654863,635174,10822,9484,256,5475,12
2020-05-09,0,660030,640037,10840,9568,256,5167,18
2020-05-10,0,663886,642884,10874,9610,256,3856,34
2020-05-11,0,668492,646661,10909,9632,256,4606,35
2020-05-12,0,680890,653624,10936,9670,258,12398,27
2020-05-13,0,695920,665379,10962,9695,259,15030,26
2020-05-14,0,711484,679771,10991,9762,260,15564,29
2020-05-15,0,726747,695854,11018,9821,260,15263,27
2020-05-16,0,740645,711265,11037,9851,262,13898,19
2020-05-17,0,747653,718943,11050,9888,262,7008,13
2020-05-18,0,753211,726053,11065,9904,263,5558,15
2020-05-19,0,765574,737571,11078,9938,263,12363,13
2020-05-20,0,776433,748972,11110,10066,263,10859,32
2020-05-21,0,788684,759473,11122,10135,264,12251,12
2020-05-22,0,802418,770990,11142,10162,264,13734,20
2020-05-23,0,814420,781686,11165,10194,266,12002,23
2020-05-24,0,820289,788766,11190,10213,266,5869,25
2020-05-25,0,826437,796142,11206,10226,267,6148,16
2020-05-26,0,839475,806206,11225,10275,269,13038,19
2020-05-27,0,852876,820550,11265,10295,269,13401,40
2020-05-28,0,868666,834952,11344,10340,269,15790,79
2020-05-29,0,885120,849161,11402,10363,269,16454,58
2020-05-30,0,902901,865162,11441,10398,269,17781,39
2020-05-31,0,910822,876060,11468,10405,270,7921,27
